SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
558,Dablist,Netherlands,EUR,$113.57M,53.9,$5.1B,n/a,$350.95M,$2.08B,$5.73M,$14.65M,n/a,$92.42M,$17.19B,$172.02M,$16316018.97,$82863561.27,$97627177.84,$95433364.49,$1078568.17,$43127968.43,$46831445.85,$30203085.36,$20359318.50,$77884783.31,$98387485.27,$77061024.03,$17263346.90,$26228774.71,$27823595.39,$93443537.47,$74379847.32,$38350176.35,$59828343.27,$47191793.72,35.41,80.6,85.7,1.51,81.59,51.13,7.65,35.26,14.45,15.83
559,Snaptags,Brazil,BRL,$104.81M,41.6,$1.17B,$163.69M,$18.63B,$1.04B,$153.95M,$1.37B,$9.12B,$34.86M,$68.19B,$3.08B,$70248458.86,$71432641.17,$28033719.34,$26107360.06,$29532717.58,$95989255.60,$59330043.42,$78514533.88,$15715014.89,$32540112.46,$55104447.61,$10809346.37,$87981613.23,$43438010.17,$13800393.84,$12108821.74,$22933953.95,$85750787.03,$61667326.84,$79657507.99,65.67,31.65,23.25,83.73,56.11,11.32,52.6,41.49,66.68,4.7
560,Livepath,United States,USD,$975.72M,74.7,$6.69B,$287.82M,$117.69M,$492.78M,$2.49B,$1.27B,$3.79B,$11.09B,$324.08M,$1.15B,$38208509.71,$11716805.84,$88111303.35,$46789184.14,$20314021.97,$20893794.48,$36509483.67,$61413052.79,$231670.36,$95393373.17,$27352153.65,$68086984.41,$82531689.78,$83947794.81,$22792590.38,$81964290.50,$47434330.71,$30633690.53,$27437371.93,$31030198.42,7.1,83.28,25.65,41.95,35.41,60.47,29.26,29.16,77.64,82.31
561,Youopia,Indonesia,IDR,$28.13M,99.8,$9.71B,$5.43B,$10.91M,n/a,$256.07M,$1.07B,$370.33M,$386.58M,$305.91M,$174.89M,$31029216.43,$66074703.32,$71674542.17,$2583499.24,$90610360.54,$47344912.38,$59194848.45,$18586614.24,$96633225.00,$64986297.71,$68058891.08,$1432477.23,$49906508.66,$66335009.74,$30081837.21,$63242090.98,$67333354.00,$95220528.90,$67051229.60,$35573949.10,94.34,26.76,84.78,31.23,96.69,9.17,78.93,68.66,95.46,63.08
562,Photolist,China,CNY,n/a,40.5,n/a,$437.24M,n/a,$28.43B,$9.15M,$52.67M,$2.9B,$1.16B,$404.69M,$399.01M,$78223062.95,$54143984.29,$93857116.46,$73258372.15,$46994855.70,$25135954.61,$12546281.70,$11335811.27,$42257448.75,$91230264.83,$36109906.99,$35368060.32,$24418574.36,$60044137.92,$25355985.95,$84508816.41,$7962910.42,$4364032.56,$69351637.55,$83930422.23,86.14,56.82,43.64,57.45,50.36,87.57,58.69,75.96,26.16,13.68
563,Devshare,Portugal,EUR,$1.19B,83.4,$3.84B,$36.35M,$175.48M,$121.54M,$3.02B,$1.38B,n/a,$4.88B,$1.58B,$88.58B,$97160296.72,$39524380.39,$38974809.34,$47134470.05,$22783251.85,$10770191.09,$64661433.30,$91407322.42,$82603707.91,$57757179.95,$50589116.86,$49826729.92,$56967979.09,$60428599.34,$26086220.62,$82917759.79,$87829531.50,$34626416.82,$87275304.70,$22732308.00,22.52,26.59,55.22,55.37,4.19,69.21,7.19,25.64,76.24,16.06
564,Kimia,Argentina,ARS,$14.64B,24.7,$73.29B,$52.17M,$2.36B,$1.13B,n/a,n/a,$672.68M,$21.71B,$5.48B,$7.43B,$20806417.98,$21742153.06,$96374889.96,$21792146.55,$53088462.48,$22615164.51,$76321109.04,$24364040.48,$64615545.41,$94578500.72,$66254314.18,$4275704.90,$26020544.27,$69598502.68,$16856243.82,$75071984.43,$36308113.92,$66965677.23,$77175238.09,$24504744.00,95.93,58.45,38.03,6.64,70.03,56.34,79.88,75.64,88.9,49.99
565,Shufflester,Mexico,MXN,$34.73M,55.8,$11.48B,$3.47B,$415.04M,$891.94M,$664.71M,$2.09B,$385M,$3.04B,n/a,$349.39M,$15931422.74,$29971143.00,$32293838.03,$26142687.17,$63994230.04,$29737810.56,$33898716.20,$65368601.69,$28084013.63,$86509219.43,$82798524.42,$72065673.13,$66479630.03,$74602874.18,$63365502.07,$93578175.15,$40551095.25,$82106717.52,$65928839.38,$99012633.68,86.49,13.82,13.7,84.51,98.7,65.51,77.87,28.12,10.96,37.7
566,Quamba,Russia,RUB,n/a,26.8,$568.38M,$150.43M,$454.72M,$662.05M,$531.92M,$226.82M,$54.78M,$2.05B,$2.53B,n/a,$590288.15,$64479332.11,$88597078.50,$59080623.45,$57577304.04,$96693060.77,$61070390.65,$59712119.97,$31128804.39,$90693065.53,$98469948.38,$62386785.96,$93458814.28,$19601820.55,$76922978.83,$93468431.74,$96675843.84,$88112206.34,$40833501.10,$36114829.32,89.83,81.84,62.6,56.42,46.97,81.07,1.81,97.46,5.91,62.42
567,Devcast,Togo,XOF,$462.92M,51.1,n/a,$72.51M,$3.23B,n/a,$476.74M,$25.01B,$28.19M,$6.36B,n/a,$1.38B,$33759758.36,$32452268.85,$34248218.66,$15248378.50,$27156037.90,$65539472.85,$29299266.90,$53890928.38,$92213800.69,$61322836.63,$95987665.72,$57639425.33,$23573901.49,$6138729.76,$38746633.65,$5779564.84,$59975907.37,$41287407.04,$56897892.11,$48281790.82,20.63,40.98,15.33,63.0,23.2,36.82,12.83,34.83,73.05,21.01
568,Skidoo,Poland,PLN,$1.71B,22.0,n/a,$8.86B,$352.71M,$42.49M,$62.74M,$166.75M,$3.33B,$5.04B,n/a,$23.56M,$25789357.61,$25913590.96,$82928399.42,$92286590.33,$18600832.87,$19170751.94,$52698731.42,$93657965.50,$9895116.29,$72057107.48,$99728791.83,$30795026.03,$78181613.95,$38130482.84,$97717498.84,$44396777.64,$97357907.43,$7352107.72,$25990419.57,$48433714.95,83.59,97.96,56.2,25.38,46.89,95.71,80.2,7.15,21.62,60.73
569,BlogXS,Philippines,PHP,n/a,46.1,$5.37B,$7.36B,$138.36M,$8.61M,$166.75M,$48.91M,n/a,$53.4B,n/a,$350.52M,$63240057.46,$3304026.84,$11746923.13,$91846806.37,$26505740.21,$31179020.90,$23865846.57,$31595660.54,$75401642.25,$6339411.85,$53403727.66,$36518706.85,$45150237.86,$4136120.80,$29312693.73,$45171353.91,$11898720.60,$18550516.40,$94202704.41,$69410184.14,76.56,7.38,87.64,7.0,24.29,72.16,76.54,8.86,65.43,32.8
570,Riffpath,Philippines,PHP,$34.52B,71.9,n/a,n/a,n/a,$7.77B,$629.54M,$768.07M,$438.82M,n/a,$2.47B,$2.86B,$58385716.02,$47327852.32,$30911528.81,$61657161.36,$63809416.01,$99981066.20,$3908285.22,$68298583.95,$75652732.36,$44260628.14,$25380872.76,$31146551.62,$30609541.05,$54062048.80,$3038218.21,$42660170.16,$97369371.62,$34055096.19,$94673074.90,$53730457.49,71.94,99.85,66.74,57.2,97.08,40.25,78.99,9.92,38.09,17.3
571,Gigaclub,Sweden,SEK,$146.7M,36.7,$11.01B,$161.78M,$9.12M,$2.49B,$26.04B,$30.69M,n/a,$189.19M,n/a,$1.9B,$48240184.25,$38539448.08,$20180884.93,$17523066.99,$5131918.82,$63705776.27,$86754365.14,$5330906.26,$96967636.07,$61995199.90,$44235522.88,$32325881.50,$55808345.72,$90521879.58,$72852885.71,$90547734.49,$72974744.25,$91301602.28,$67245747.07,$62659894.22,42.07,74.74,68.28,41.89,78.09,57.82,83.92,32.96,10.15,10.12
572,Innojam,China,CNY,$7.28B,62.2,$637.42M,$5.14B,$75.98M,$118.79M,n/a,$2.73B,n/a,$11.29M,$15.92B,$1.49B,$28077039.28,$83927589.01,$9716502.60,$94483227.93,$86128726.84,$15412039.61,$1159220.44,$77607297.86,$99181393.52,$93299957.54,$44067766.07,$98358826.37,$47345370.91,$78052035.97,$49124601.54,$92559671.13,$36565589.16,$90423641.71,$6314649.43,$25777782.68,67.33,40.21,30.44,65.16,62.81,66.93,52.56,27.15,45.74,5.07
573,Pixoboo,Czech Republic,CZK,$313.17M,80.3,$17.14B,n/a,n/a,$56.28B,$31.68B,$82.28B,$68.57B,$5.52B,$61M,n/a,$95546623.26,$52064864.67,$35851375.65,$25610042.93,$90092243.57,$11867134.01,$26212144.09,$53936955.15,$81120938.40,$96655851.42,$13099397.91,$15711343.78,$62867799.09,$30182142.96,$87689694.71,$84772179.82,$82610731.15,$11497581.03,$12954665.67,$77619166.78,63.31,68.97,51.2,11.1,44.81,97.71,32.17,53.65,73.71,24.21
574,Rhyloo,China,CNY,$8.93B,58.8,$217.09M,$352.64M,$3.54B,$702.5M,$4.23B,n/a,$237.5M,$2.76B,$1.7B,$6.47B,$42004324.92,$29645951.27,$44910934.96,$26357351.53,$75466842.60,$20025750.69,$49121032.00,$67435357.28,$86639604.54,$8177992.64,$88616834.65,$70671680.15,$26534313.89,$74341906.13,$28168182.44,$18302176.99,$24245076.97,$36620267.22,$47220849.22,$92105320.19,3.83,63.35,93.22,28.24,97.74,50.55,23.87,31.38,85.31,32.17
575,Oloo,Philippines,PHP,$237.15M,44.9,$87.38M,$1.03B,$177.71M,$184.66M,$646.76M,$9.37B,$221.63M,$428.97M,$425.82M,$3.71M,$31175931.07,$69245647.10,$3554774.68,$79027245.63,$63730633.95,$55867132.98,$69735002.01,$34240677.99,$90002546.23,$40419664.25,$56172258.99,$82883147.78,$11559182.16,$81769803.61,$95924614.64,$86530262.05,$14693651.05,$24520480.11,$35085679.40,$24721469.58,91.23,26.68,60.57,78.37,20.69,43.46,42.85,5.59,46.24,28.03
576,Zoombeat,Philippines,PHP,$3.45B,84.8,n/a,$216.49M,$71.22M,$1.81B,$548.61M,$61.25B,$1.11B,$288.75M,$48.4M,$146.32M,$13044334.15,$77980954.02,$89354771.80,$81929116.87,$62016708.94,$31764719.79,$28386754.30,$54017756.50,$25191208.12,$1768066.25,$93117947.46,$82396196.90,$77853369.66,$94236456.66,$26329598.03,$10793062.10,$32527864.05,$96782010.65,$92884728.89,$66365702.50,27.63,88.76,50.32,98.11,28.72,6.93,72.81,1.6,11.85,10.23
577,Izio,Russia,RUB,n/a,48.6,$7.6B,$17.47B,$68.38M,$101.69M,$8.33M,$1.71B,$484.51M,$126.8B,$177.98M,$3.23M,$14712451.75,$60875656.30,$10854410.83,$36700682.97,$81096349.48,$21430250.38,$12201571.23,$70265716.70,$15748960.80,$61576045.33,$48311691.95,$90680088.21,$97150405.18,$58124975.29,$89043253.81,$58211099.35,$12993789.63,$90668344.96,$11735351.20,$71238836.95,91.03,34.57,45.61,36.77,24.91,74.34,70.62,14.24,33.85,73.31
578,Meeveo,Greece,EUR,$125.21M,40.4,n/a,$877.03M,$2B,$1.85B,$12.62B,$3.77B,n/a,n/a,$3.1B,n/a,$35893711.86,$21122029.15,$60345528.49,$83482935.77,$76333233.07,$15124012.03,$71685451.51,$46277410.77,$27156406.05,$5277400.66,$96301527.41,$65296872.45,$85877580.67,$74825798.33,$87633663.15,$98163760.41,$53728096.20,$95670469.65,$72085392.35,$10652783.86,38.88,86.37,6.11,52.67,75.25,6.92,24.18,51.12,38.77,26.94
579,Wikido,Philippines,PHP,$785.28M,57.2,$1.6B,$248.95M,$1.59B,$2.27B,$14.49B,$86.02M,$20.92M,n/a,$142.79M,$59.88M,$22177832.24,$79422432.89,$49662141.83,$5803719.47,$14580259.77,$30019332.87,$79954043.89,$71330260.94,$62776216.94,$14747090.25,$57033286.27,$94086062.60,$41728470.94,$16009922.09,$58116945.44,$17425369.83,$86488292.38,$83198638.40,$57567036.17,$19565368.02,25.18,29.29,5.48,64.41,33.93,43.28,88.52,41.25,28.85,43.99
580,Npath,Colombia,COP,n/a,52.7,$229.32B,$130.02M,$90.06M,$21.66M,$654.14M,$2.88B,$590.4M,$99.1M,$1.49B,$531.54M,$8852815.26,$86047011.52,$13487451.05,$85181820.80,$76163807.92,$93811811.15,$68857190.58,$23026192.12,$62838291.05,$39868262.49,$40466264.51,$13196228.71,$16015474.78,$51976464.47,$58614272.66,$54299002.34,$86745271.21,$27351788.86,$46350941.14,$89711549.87,30.09,53.32,73.11,12.71,29.54,30.41,8.04,29.36,37.53,17.22
581,Vipe,China,CNY,$80.04M,41.0,$947.48M,$11.13B,$3.68B,n/a,$44.74M,$332.64M,$42.8M,$15.82M,$224.11M,$5.05M,$7921393.21,$22304600.18,$72347851.99,$66239261.41,$86840091.94,$27433651.64,$87795246.89,$29497457.18,$93313274.23,$72516969.66,$58889480.36,$73702533.51,$64469886.60,$45647223.33,$3089272.45,$67808948.64,$95591054.15,$44729858.68,$53585404.97,$96900960.49,6.97,70.05,27.87,53.5,57.51,35.3,58.77,2.81,82.25,92.1
582,Dazzlesphere,Brazil,BRL,$14.27B,77.4,$266.9M,$7.93B,$2.65B,$1.03B,$4.77M,$402.82M,$52.47B,$107.03M,$23.91B,n/a,$3648309.29,$93331643.74,$1060226.12,$30639963.41,$66089554.73,$64791812.54,$44521448.01,$47190408.80,$2582974.24,$33559709.94,$74389486.73,$35668252.97,$43827167.07,$89839080.32,$12708266.84,$97860928.02,$68622428.04,$2276799.96,$83188428.14,$90919577.88,68.7,64.41,48.79,24.57,52.13,79.5,25.16,64.65,41.99,44.96
583,Divape,Cameroon,XAF,n/a,55.9,$2.05B,$34.86M,$1.02B,$402.82M,$64.88M,$4.27B,$327.09M,$116.58M,n/a,$200.99M,$52515594.50,$66480965.33,$58883912.05,$92542660.03,$96559279.33,$96989470.08,$5469369.85,$29918794.44,$54571445.10,$92147729.40,$94473547.30,$87548211.14,$51408724.37,$3225432.12,$93521460.68,$51122587.61,$23721402.77,$95124889.29,$7795424.76,$9381604.05,23.39,18.3,83.21,89.93,58.61,40.36,93.3,88.91,44.49,81.58
584,Twiyo,Portugal,EUR,$791.4M,49.3,n/a,$1.51B,$2.85B,n/a,$233.93M,$278.18M,$25.92M,$214.42M,$341.72M,$10.25B,$56147967.48,$20380311.92,$17716526.75,$17689756.92,$51196010.72,$16236173.58,$78965166.36,$97226437.40,$84188410.34,$49403894.05,$93343570.42,$72837528.81,$54828704.17,$53591029.51,$46563371.98,$87762649.48,$6904317.70,$33451030.73,$54200055.57,$67855607.32,54.43,26.56,83.67,33.49,91.69,9.46,78.12,30.96,7.03,64.22
585,Zoomzone,Cuba,CUP,$44.25M,57.5,$37.4B,$1.18B,$35.98B,$343.37M,$94.54M,$216.11M,n/a,$739.26M,$186.35M,$2.5B,$32709464.24,$16384112.54,$34629897.01,$8181775.71,$17565746.18,$1647915.50,$85880915.68,$80957941.56,$9983933.94,$52550331.81,$38384323.38,$23809348.02,$66901640.86,$15564920.95,$54861248.11,$97476237.79,$60022475.79,$11808377.95,$36006161.81,$51200198.64,58.69,63.23,33.05,39.05,99.8,85.89,67.77,43.47,32.1,33.57
586,Reallinks,Peru,PEN,$5.1B,85.0,$472.08M,$12.29M,$35.37M,$3.56B,$1.43B,$2B,$587.6M,$27.68M,$2.83B,n/a,$60873986.93,$78147480.80,$18194272.68,$73076383.61,$57249860.40,$46847394.00,$56344186.85,$51751125.90,$57723920.73,$50705928.23,$98390654.10,$67004730.69,$58246600.17,$94832608.16,$6410365.08,$4473377.11,$68841969.76,$53234870.64,$64868941.06,$1542526.59,95.57,95.32,15.92,52.82,19.14,89.87,99.2,7.77,60.68,71.52
587,Yadel,Tuvalu,AUD,$731.26M,88.0,$1.43B,n/a,$7.9B,$1.64B,$825.03M,$10.72M,$83.79B,$6.53B,n/a,$5.53B,$69163677.98,$65704348.28,$71442645.35,$75707591.53,$24993935.42,$93797621.53,$19318961.22,$90923477.96,$35803581.30,$95658119.98,$39792589.47,$35847993.53,$39769647.41,$5072292.04,$26299917.34,$24862450.35,$68348842.00,$81089589.01,$28358369.59,$38511073.12,51.03,26.42,10.42,37.99,56.87,94.6,59.99,27.23,40.23,39.2
588,Gabtune,Brazil,BRL,$3.28B,34.8,$204.83M,$126.83M,$9.85B,$647.69M,$10.85B,$277.68M,$7.93B,$650.09B,$1B,$44.32B,$31375483.47,$56534099.65,$92885778.82,$56210519.88,$39541342.20,$38696719.32,$85460200.91,$59571859.04,$72333072.08,$20003047.17,$38124469.11,$35320583.96,$43460814.67,$31367292.01,$37624624.16,$43394183.76,$58915600.09,$91686207.50,$22952200.97,$26091051.50,79.78,61.65,9.7,65.75,92.19,47.19,24.53,61.19,2.34,57.48
589,Vipe,Greece,EUR,$1.7B,24.9,$184.63M,$2.69B,$23.78B,$3.1B,$387.13M,$563.5M,$119.93M,$308.11M,$7.24B,$6.65B,$10759081.22,$64673407.60,$74262712.57,$77748506.41,$23087413.36,$8190013.06,$80243117.94,$32692187.57,$10723094.53,$73940353.59,$27051636.34,$12322868.77,$31526145.58,$1741051.07,$55493066.82,$60600820.83,$2844214.08,$54870778.80,$6494839.41,$50296738.51,29.34,30.31,71.65,23.87,8.04,49.6,85.57,69.88,42.64,88.53
590,Vipe,China,CNY,$2.4B,95.5,$6.69B,$1.42B,n/a,n/a,$87.9M,$129.98M,$59.69M,n/a,$2.89B,$263.57M,$90287091.35,$89141830.85,$68784506.22,$33962592.48,$31471392.55,$42940250.56,$82432893.09,$25503479.37,$90953510.06,$99418416.74,$23688554.18,$74848112.60,$93748933.96,$18876426.18,$63811036.11,$16779753.52,$4375025.81,$68058560.07,$23177392.51,$9467047.28,33.69,64.22,20.05,57.47,33.81,37.48,16.19,40.73,54.44,50.47
591,Jayo,Vietnam,VND,$280.33M,98.9,$18.22M,$96.78M,$138.36M,n/a,$84M,$970.48M,$5.79M,$1.96B,$1.33B,$25.92M,$61435562.14,$64944511.94,$88079618.98,$23154634.67,$37040034.32,$4510934.66,$15258088.61,$5695463.92,$57161851.62,$43537168.56,$46804381.64,$24190716.88,$82232736.65,$1784005.33,$76351674.00,$3253504.58,$53948002.34,$92898579.09,$4467931.12,$14495365.13,30.71,61.25,77.25,23.84,44.4,80.79,91.06,4.91,8.4,2.26
592,Flashpoint,Indonesia,IDR,$240.93M,33.0,$975.82M,$213.38M,$791.4M,n/a,n/a,$41.59M,$15.23B,$276.7M,$1.16B,$107.35M,$90884732.33,$17383303.63,$63867413.18,$63495726.03,$25945137.19,$35220350.39,$15317980.26,$83790505.52,$8478844.71,$80893122.40,$12386541.59,$16882769.90,$12340006.39,$82554552.07,$86958351.37,$39421875.16,$40767764.21,$51487208.85,$42520347.66,$63551504.21,8.65,47.8,2.72,27.16,57.35,45.73,26.92,63.73,83.68,42.05
593,Tagopia,Latvia,EUR,$14.36B,78.8,$414.14M,$184.47M,$359.69M,$345.67M,$5.41M,n/a,$858.03M,$1.21B,$17.52B,n/a,$98551462.80,$94839536.06,$7018096.97,$68308123.85,$98459644.75,$38169412.22,$4599711.06,$81709172.82,$55604170.89,$54119881.59,$86142521.08,$90498416.10,$19486518.78,$75426771.35,$8555950.94,$68680035.18,$5049553.06,$26704291.23,$50485617.64,$28169825.71,86.06,99.49,71.81,29.53,32.34,85.77,72.37,93.11,87.93,92.99
594,Browseblab,Philippines,PHP,$172.9M,90.3,$2.41B,n/a,$364.09M,$1.53B,$195.96M,$89.57M,$975.44M,$3.65B,$332.05M,$56.46M,$35145621.02,$21626719.05,$98106917.72,$89093726.51,$30523210.66,$26041854.67,$21776528.79,$74012692.14,$22560208.04,$18772255.15,$79199301.09,$51075945.61,$60724703.80,$10096995.02,$21348792.13,$53487966.09,$43912770.24,$30686725.01,$29415298.41,$25951022.18,48.53,89.38,33.1,72.28,50.24,16.01,77.54,21.96,39.25,92.84
595,Dabfeed,Italy,EUR,n/a,61.8,$1.04B,$5.97B,$311.29M,$90.19M,$431.69M,$197.05M,n/a,$50.09B,n/a,n/a,$73058607.13,$85701838.98,$16700620.11,$87325656.62,$56004777.29,$61588774.88,$76805882.68,$91111475.27,$54606783.71,$36995472.56,$90089996.97,$17775668.15,$14799594.80,$18938014.29,$67825998.78,$27704550.33,$19558954.33,$82790772.41,$4919106.19,$98963515.14,37.25,68.37,59.33,26.24,66.28,32.87,46.11,26.25,87.77,2.96
596,Zazio,Indonesia,IDR,$1.23M,39.4,$3.95B,$402.84M,$1.1B,$76.04M,n/a,$1.16B,$6.2B,$461.58M,$217.04M,$537.11M,$27472079.57,$34454563.33,$36642992.05,$26850681.90,$42735512.80,$68071028.22,$47250216.59,$57500432.84,$55532090.02,$84612317.21,$26831390.02,$21317384.44,$48187142.98,$65156096.11,$38670834.09,$73329625.96,$21902459.57,$80844614.78,$4674966.42,$77724175.61,76.83,25.93,16.54,43.68,32.21,53.03,79.66,18.97,44.74,73.79
597,Shuffledrive,French Polynesia,XPF,n/a,96.3,$40.91B,$430.9M,n/a,$22.64M,$4.19B,$120.43M,$287.76M,$755.36M,$1.9B,$1.14B,$74230428.01,$80835005.40,$28540291.08,$93573018.96,$59937876.47,$32771908.13,$9705961.04,$83936706.52,$78382350.19,$77949085.00,$32034574.72,$82244719.44,$42034376.81,$92836830.53,$54923220.28,$81626243.05,$84106869.01,$55719892.67,$49298602.55,$32313293.23,68.93,51.82,98.47,53.56,36.91,52.4,40.34,19.22,99.63,22.65
598,Gevee,Qatar,QAR,$8.64B,82.6,$970.14M,$1.34B,n/a,$28.99M,n/a,$276.34M,$1.01B,n/a,$736.77M,$6.7B,$13753732.70,$67869047.67,$98732823.75,$85108427.08,$77128939.48,$45461419.51,$2900773.48,$74119139.14,$29961628.94,$78660443.19,$23954061.13,$11040745.14,$20599774.55,$39581470.66,$35004591.06,$74204263.44,$86340143.97,$74394787.79,$8726708.09,$47279325.62,34.1,92.51,56.63,99.37,19.95,62.4,72.67,27.84,5.73,25.43
599,Fivebridge,Mexico,MXN,$581.4M,63.3,$4.93B,$147.55M,$281.36M,$10.69M,$87.38M,$339.02M,$130.23M,$8M,$73.29B,n/a,$22521456.10,$79179879.98,$26511322.17,$47396368.99,$43584997.28,$46979065.40,$15970054.38,$45578678.13,$49609783.24,$35691174.50,$1116308.34,$93449319.79,$85601120.08,$31779118.69,$78997940.32,$67038409.46,$31623762.77,$82794187.46,$18045775.15,$23483292.59,10.27,4.25,63.98,14.26,15.62,47.07,16.05,19.82,37.38,61.45
600,Tagtune,Indonesia,IDR,$18.33M,49.4,$162.87M,$3.04B,$437.47M,n/a,$12M,$106.47M,$4.24B,$3.95B,n/a,$5.22B,$56747931.00,$96180159.31,$39223170.33,$11460025.87,$72855374.60,$67979666.71,$49467810.48,$44553043.23,$49537768.20,$79676165.53,$96450561.78,$26113392.20,$38067422.54,$53736854.15,$17747957.65,$31853980.92,$18890012.15,$47948317.46,$80102780.87,$35988090.75,28.51,6.65,46.16,29.58,86.64,68.2,38.7,74.04,93.47,72.25
601,Trilia,Ireland,EUR,$730.37M,60.9,n/a,n/a,n/a,$191.36M,$7.87B,$2.89B,$11.67B,$1.82B,n/a,n/a,$34269142.92,$78267249.40,$53099377.44,$2371884.97,$71728146.30,$7402721.17,$18286816.18,$76677029.64,$41998315.78,$41882960.19,$83998423.57,$2160747.49,$47262115.35,$68503976.16,$92566417.90,$96844804.12,$37890120.30,$21257073.44,$39354610.34,$87518902.29,44.9,76.15,10.33,19.39,37.19,61.65,36.29,73.0,79.76,13.53
602,Photobean,Portugal,EUR,$763.43M,95.3,n/a,$328.94M,$695.78M,n/a,$203.62M,$3.65B,$2.29B,$49.95B,$110.17M,$47.48M,$11990993.01,$62280980.37,$29051554.71,$58041042.88,$13534381.83,$74974980.75,$10341880.82,$59925450.04,$89802215.74,$62616529.60,$5953052.40,$50121311.95,$85631127.24,$6124483.59,$46596293.68,$58808574.56,$40296440.90,$89528456.71,$91805737.66,$95724814.10,67.39,83.91,97.79,62.57,41.67,45.81,99.69,63.88,56.26,62.5
603,Dazzlesphere,China,CNY,$347.78M,20.3,n/a,$2.93B,$462.31M,$349.22M,$54.66M,$457.29M,$222.97M,$57.09M,$8.44B,n/a,$84458.98,$80588596.22,$90820450.48,$41116613.78,$84026567.81,$63507068.89,$94878284.75,$70434146.33,$64251303.26,$15118681.71,$83303496.03,$34657981.89,$70390657.78,$78438906.18,$67819658.72,$81570562.17,$83728992.38,$60631152.81,$11990751.05,$82639758.43,13.41,84.62,4.69,79.65,77.22,96.81,52.35,73.96,46.01,66.44
604,Innotype,Cameroon,XAF,$310.86M,97.3,n/a,n/a,$1.59B,$10.31B,$287.94M,$150.43M,n/a,$5.19B,$4.84B,$1.66B,$9722150.05,$78042647.39,$81094135.78,$18171600.80,$69449744.81,$52258794.24,$29419855.42,$6031032.80,$77224346.63,$14489706.01,$90775156.23,$18164854.32,$65354238.72,$82180135.20,$51565322.70,$72961798.09,$23402718.40,$15154030.12,$18455733.49,$6015193.48,6.74,99.44,16.2,53.67,99.68,51.81,64.8,8.31,32.79,65.67
605,Rhybox,Japan,JPY,$514.79M,46.6,$61.92B,n/a,$18.22M,n/a,$1.49B,$61.97M,$383.03M,$441.26M,$284.89M,$551.95M,$49406320.70,$58051051.34,$37695027.61,$44575157.80,$56178656.91,$45704116.26,$80890384.54,$72450884.13,$14544904.35,$33896186.65,$20987235.83,$62343538.57,$80425437.67,$60584807.75,$95959045.99,$28970390.53,$12408301.34,$11612284.92,$37463349.55,$14331451.85,93.75,47.67,67.55,55.26,53.6,99.63,9.59,67.41,11.33,81.17
606,Yodoo,China,CNY,$3.95B,53.0,$3.72B,$3.95B,$2.69B,$18.49M,$566.1M,$130.23M,$184.66M,$13.28B,$18.55M,$4.15B,$30937028.15,$14629951.78,$14287518.02,$98281329.06,$44474814.76,$67750009.27,$5620679.27,$52342345.34,$81758534.10,$57534838.25,$66916433.05,$35125156.62,$75440431.58,$16571517.65,$74752895.85,$82283445.14,$15193087.85,$12023455.04,$33789717.75,$70546428.46,24.06,22.65,79.76,97.2,10.22,52.05,35.77,96.99,94.37,44.04
607,Zoombox,China,CNY,$184.66M,76.9,n/a,n/a,$2.92B,$12.31M,$18.93B,$796.59M,$23.91B,$1.77B,$541.62M,$177.4M,$97207030.15,$33142421.83,$50576147.27,$78542592.19,$74745288.37,$85930252.06,$55140570.20,$55724473.19,$83067344.77,$12643880.67,$95717586.63,$95479294.56,$61473405.78,$42216896.04,$18475363.26,$43119652.33,$78012576.43,$27461237.24,$14868610.79,$65649859.30,47.46,54.83,60.87,20.41,44.06,15.35,37.75,84.31,67.69,91.14
608,LiveZ,Sweden,SEK,$206.36M,93.4,n/a,$24.23M,$2.62B,$16.85B,$3.17B,$311.58M,$27.34M,$258.6M,$6.68M,$26.32M,$56843942.31,$88245353.37,$66440062.31,$28300782.70,$26919710.87,$63983749.87,$24497529.43,$78365145.88,$16045284.71,$75032971.41,$99520515.91,$59598897.04,$37252504.14,$19674131.74,$72714339.29,$4867519.75,$8363833.27,$58682278.31,$84161564.34,$10434020.36,10.57,61.1,29.25,12.36,95.08,72.25,5.56,82.55,92.09,34.04
609,Topdrive,China,CNY,$23.11B,40.5,$1.82B,$106.49M,$1.05B,n/a,$1.26B,$51.52M,$149.58M,$394.9M,$14.46B,$303.43M,$43476046.95,$14472399.65,$38382750.16,$98600896.93,$92272653.11,$17120485.21,$36824402.30,$70901563.10,$21733879.45,$34916097.88,$78353251.06,$14411984.18,$66897785.89,$39542268.68,$8865374.16,$3223271.02,$73352248.58,$37012375.25,$91736178.26,$50716194.84,31.02,85.77,28.52,25.89,11.51,64.92,73.45,79.74,5.97,42.05
